City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,maunabo,18.0072,-65.8993,33.9,83,8,2.55,PR,1715537602
84,yaren,-0.5472,166.916,28.96,74,100,5.67,NR,1715537602
85,ulsteinvik,62.3432,5.8487,22.5,74,98,2.48,NO,1715537602
86,enewetak,11.3474,162.3373,27.37,82,86,8.29,MH,1715537603
87,yonggwang-up,40.0183,127.4547,8.64,59,0,3.1,KP,1715537603
88,gadzhiyevo,69.2551,33.3362,1.23,99,100,1.22,RU,1715537603
89,papatowai,-46.5619,169.4708,9.4,86,98,3.68,NZ,1715537603
90,atafu village,-8.5421,-172.5159,29.14,76,38,6.92,TK,1715537604
91,olonkinbyen,70.9221,-8.7187,0.83,100,100,4.51,SJ,1715537604
92,cabo san lucas,22.8909,-109.9124,30.61,47,20,3.09,MX,1715537308
93,bereznik,62.8551,42.7072,-3.75,96,76,1.99,RU,1715537605
94,saint-pierre,-21.3393,55.4781,24.82,73,0,7.2,RE,1715537605
95,wanning,18.8003,110.3967,25.21,90,56,1.57,CN,1715537512
96,monywa,22.1167,95.1333,33.17,43,71,1.6,MM,1715537605
97,hawaiian paradise park,19.5933,-154.9731,21.61,97,100,4.12,US,1715537606
98,serres,41.0856,23.5497,19.09,58,68,1.96,GR,1715537606
99,chonchi,-42.6128,-73.8092,8.56,72,70,1.45,CL,1715537606
100,bridgewater,44.3835,-64.5155,12.04,70,92,0.89,CA,1715537382
101,puerto baquerizo moreno,-0.9,-89.6,27.55,69,40,7.2,EC,1715537396
102,dryden,49.7833,-92.7503,14.16,41,100,7.2,CA,1715537608
103,ribeira grande,38.5167,-28.7,20.99,83,40,5.81,PT,1715537608
104,vorgashor,67.5833,63.95,-8.44,95,42,4.56,RU,1715537608
105,shingu,33.7333,135.9833,19.76,97,100,4.38,JP,1715537608
106,ust'-ilimsk,58.0006,102.6619,5.24,57,18,1.79,RU,1715537608
107,usinsk,65.9939,57.5281,-1.07,87,100,4.47,RU,1715537609
108,rio grande,-32.035,-52.0986,18.06,93,100,9.26,BR,1715537496
109,vostochnyy,55.8167,37.8667,5.06,43,92,2.68,RU,1715537609
110,tazovsky,67.4667,78.7,-0.76,89,100,3.0,RU,1715537609
111,grande prairie,55.1667,-118.8027,18.1,32,40,7.2,CA,1715537609
112,elliot lake,46.3834,-82.6331,6.91,97,99,2.31,CA,1715537381
113,punta arenas,-53.15,-70.9167,6.06,45,0,5.66,CL,1715537460
114,paita,-5.0892,-81.1144,23.25,69,81,5.74,PE,1715537610
115,lohr am main,49.9936,9.5783,21.79,73,40,3.4,DE,1715537610
116,inhambane,-23.865,35.3833,23.99,94,20,1.54,MZ,1715537611
117,northam,51.0333,-4.2167,14.78,85,24,4.73,GB,1715537611
118,bam,29.106,58.357,28.89,11,0,2.49,IR,1715537611
119,nova vicosa,-17.8919,-39.3719,28.64,64,2,5.25,BR,1715537611
120,shenjiamen,29.9576,122.298,15.56,80,100,3.72,CN,1715537612
121,mount pearl,47.5166,-52.7813,9.69,97,100,6.69,CA,1715537576
122,petropavlovka,50.6114,105.3196,12.23,55,95,3.69,RU,1715537539
123,pangody,65.85,74.4859,0.01,99,100,4.92,RU,1715537612
124,la ronge,55.1001,-105.2842,5.12,60,100,3.6,CA,1715537613
125,korsakov,46.6328,142.7813,8.24,99,100,3.45,RU,1715537613
126,port elizabeth,-33.918,25.5701,16.84,92,40,2.57,ZA,1715537613
127,hermanus,-34.4187,19.2345,14.33,76,1,5.54,ZA,1715537613
128,bonthe,7.5264,-12.505,29.73,75,100,3.87,SL,1715537613
129,howard springs,-12.497,131.047,24.95,83,96,2.32,AU,1715537613
130,elizabethtown,37.694,-85.8591,25.07,40,0,3.6,US,1715537614
131,juneau,58.3019,-134.4197,8.01,91,100,6.69,US,1715537614
132,longyearbyen,78.2186,15.6401,0.91,75,75,3.6,SJ,1715537615
133,lompoc,34.6391,-120.4579,22.61,93,100,4.12,US,1715537615
134,thompson,55.7435,-97.8558,6.32,55,98,5.88,CA,1715537615
135,constantia,44.1833,28.65,12.38,60,100,5.34,RO,1715537437
136,daru,-9.0763,143.2092,26.25,84,50,5.89,PG,1715537615
137,port macquarie,-31.4333,152.9167,12.72,90,6,1.83,AU,1715537616
138,burnie,-41.0667,145.9167,12.47,86,100,4.47,AU,1715537616
139,weihai,37.5017,122.1136,11.75,52,0,2.84,CN,1715537378
140,san patricio,28.017,-97.5169,32.87,52,62,8.31,US,1715537616
141,petropavlovsk-kamchatsky,53.0452,158.6483,3.58,66,75,4.0,RU,1715537616
142,hami,42.8,93.45,28.73,14,0,8.05,CN,1715537617
143,anadyr,64.75,177.4833,-0.72,80,100,6.0,RU,1715537617
144,capo d'orlando,38.1435,14.7305,20.23,76,5,2.79,IT,1715537617
145,sawai madhopur,25.9833,76.3667,36.77,18,79,3.29,IN,1715537617
146,carnarvon,-24.8667,113.6333,22.9,82,13,2.41,AU,1715537618
147,elbasan,41.1125,20.0822,18.4,80,26,0.67,AL,1715537618
148,westport,41.1415,-73.3579,14.04,63,20,4.63,US,1715537484
149,kodiak,57.79,-152.4072,4.73,81,75,0.0,US,1715537618
150,sisimiut,66.9395,-53.6735,3.68,75,98,12.15,GL,1715537431
151,iskateley,67.6803,53.1512,-4.99,95,100,4.02,RU,1715537619
152,acapulco de juarez,16.8634,-99.8901,29.9,58,100,1.54,MX,1715537619
153,haiku-pauwela,20.9219,-156.3051,25.58,76,20,1.79,US,1715537619
154,keflavik,64.0049,-22.5624,10.95,81,75,5.66,IS,1715537620
